univ,prog_year,age,pos_affect,dep,prog_sat
Guelph,Third Year,27,4.6,3.4,4.2
Waterloo,Third Year,21,2.6,2.6,3.4
Guelph,Third Year,36,4.8,4.0,4.4
Guelph,Third Year,19,6.0,3.4,5.6
Guelph,Third Year,20,5.8,2.6,3.6
Guelph,Third Year,37,3.6,3.8,4.6
Guelph,Third Year,40,5.5,3.4,6.0
Waterloo,Fourth Year,30,4.2,3.6,3.0
Waterloo,Fourth Year,24,5.2,3.2,4.0
Guelph,Third Year,31,4.5,3.6,3.4
Guelph,Fourth Year,45,4.4,3.0,6.0
Guelph,Second Year,27,5.2,3.4,5.2
Guelph,Third Year,39,5.4,3.8,4.8
Guelph,Fourth Year,39,4.0,3.6,3.5
Guelph,Grad School,40,5.0,3.4,4.4
Guelph,Second Year,29,5.5,3.4,3.6
Guelph,Grad School,27,4.8,3.2,3.5
Guelph,Grad School,40,4.4,3.25,5.0
Waterloo,Third Year,21,4.2,3.2,4.2
Guelph,Third Year,26,5.2,3.4,4.4
Guelph,Second Year,31,2.8,3.6,3.4
Waterloo,Grad School,24,3.6,3.8,3.6
Guelph,Fourth Year,53,3.8,4.0,5.4
Guelph,Second Year,27,5.8,3.6,5.8
Guelph,Third Year,29,4.8,2.8,4.2
Waterloo,Grad School,26,3.0,3.6,3.4
Guelph,Second Year,19,6.0,3.4,5.4
Waterloo,Third Year,24,4.8,3.4,3.6
Guelph,First Year,24,4.6,3.4,4.4
Guelph,NA,16,2.2,3.2,3.4
Guelph,Third Year,23,4.6,3.4,5.4
Waterloo,Third Year,23,4.2,3.6,2.2
Waterloo,Second Year,20,2.2,3.0,1.4
Waterloo,Third Year,42,4.6,3.8,4.4
Guelph,NA,16,5.2,3.2,3.4
Guelph,Third Year,20,5.8,3.8,5.4
Guelph,Third Year,20,4.6,3.4,3.6
Guelph,NA,12,3.8,2.6,3.0
Guelph,Third Year,28,4.8,3.0,3.6
Waterloo,Third Year,23,5.6,4.0,1.4
Guelph,NA,12,6.0,3.2,4.0
Guelph,Fourth Year,24,4.6,3.8,3.6
Guelph,Third Year,21,4.0,3.4,4.5
Guelph,Fourth Year,50,4.4,3.4,5.6
Waterloo,Third Year,27,5.0,3.4,5.0
Guelph,Third Year,44,5.8,3.6,5.6
Guelph,Third Year,21,4.6,4.0,3.4
Guelph,Fourth Year,34,4.8,3.4,4.2
Guelph,Third Year,19,3.4,3.6,3.8
Guelph,First Year,24,4.0,3.4,4.4
Waterloo,Third Year,21,4.2,3.4,3.8
Guelph,Third Year,27,3.8,3.0,2.8
Guelph,Fourth Year,22,3.4,3.4,3.8
Waterloo,Fourth Year,51,3.0,3.5,2.5
Guelph,Third Year,35,4.8,2.8,3.2
Guelph,Fourth Year,22,5.0,3.4,5.2
Guelph,Grad School,31,3.4,3.4,1.75
Guelph,Grad School,20,4.2,3.4,2.0
Waterloo,Grad School,32,3.8,3.2,1.8
Guelph,Third Year,22,5.8,3.4,5.4
Guelph,Third Year,46,4.0,3.0,3.2
Guelph,Third Year,19,4.4,3.6,5.2
Guelph,Third Year,23,5.4,3.8,4.0
Waterloo,Grad School,41,4.0,3.4,4.6
Waterloo,Third Year,42,4.6,3.25,3.0
Guelph,NA,15,4.6,3.2,3.8
Waterloo,Third Year,22,5.6,3.4,4.2
Guelph,Fourth Year,27,4.6,3.6,5.0
Waterloo,First Year,19,3.4,3.0,4.0
Guelph,Third Year,22,5.0,2.6,3.2
Guelph,First Year,39,7.0,3.4,5.4
Guelph,Third Year,34,6.0,3.0,4.2
Waterloo,Grad School,21,4.2,3.4,3.6
Guelph,Grad School,42,5.8,4.0,5.4
Guelph,Third Year,28,5.4,4.0,5.0
Guelph,Third Year,18,5.2,3.2,3.6
Waterloo,Fourth Year,21,4.666666666666667,3.4,4.6
Guelph,First Year,21,3.3333333333333335,3.5,5.5
Waterloo,First Year,25,4.6,3.4,1.75
Guelph,Third Year,23,5.8,3.6,5.2
Guelph,Third Year,41,3.6,2.8,3.8
Waterloo,Third Year,20,3.8,3.0,3.8
Waterloo,Grad School,29,4.0,3.75,5.0
Guelph,Second Year,19,6.2,3.4,4.4
Guelph,Third Year,27,4.8,3.4,4.0
Guelph,First Year,24,4.8,3.2,3.8
Waterloo,Third Year,19,5.2,2.8,2.8
Guelph,Grad School,25,5.0,3.4,5.6
Waterloo,NA,12,2.4,3.2,4.0
Waterloo,Fourth Year,21,6.2,3.0,5.5
Guelph,Third Year,40,5.5,3.2,3.25
Guelph,Third Year,29,5.6,3.0,5.4
Waterloo,First Year,35,3.8,3.8,4.2
Guelph,NA,12,4.8,3.4,3.0
Guelph,Third Year,30,5.4,4.0,4.8
Guelph,Third Year,57,5.8,3.6,6.0
Waterloo,First Year,35,3.8,3.8,4.2
Waterloo,Third Year,18,3.8,3.2,4.6
Guelph,Third Year,24,4.4,3.4,4.0
Guelph,Third Year,39,5.8,3.6,5.4
